Ensembl Gene ID	Description	Associated Gene Name
ENSG00000254331	CDC28 protein kinase regulatory subunit 1B pseudogene 7 [Source:HGNC Symbol;Acc:HGNC:1999]	CKS1BP7
ENSG00000132470	integrin, beta 4 [Source:HGNC Symbol;Acc:HGNC:6158]	ITGB4
ENSG00000129535	neural retina leucine zipper [Source:HGNC Symbol;Acc:HGNC:8002]	NRL
ENSG00000148737	transcription factor 7-like 2 (T-cell specific, HMG-box) [Source:HGNC Symbol;Acc:HGNC:11641]	TCF7L2
ENSG00000116260	quiescin Q6 sulfhydryl oxidase 1 [Source:HGNC Symbol;Acc:HGNC:9756]	QSOX1
ENSG00000235954	TTC28 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:29336]	TTC28-AS1
ENSG00000038002	aspartylglucosaminidase [Source:HGNC Symbol;Acc:HGNC:318]	AGA
ENSG00000164684	zinc finger protein 704 [Source:HGNC Symbol;Acc:HGNC:32291]	ZNF704
ENSG00000111241	fibroblast growth factor 6 [Source:HGNC Symbol;Acc:HGNC:3684]	FGF6
ENSG00000125122	leucine rich repeat containing 29 [Source:HGNC Symbol;Acc:HGNC:13605]	LRRC29
ENSG00000271449	cancer/testis antigen family 45, member A2 [Source:HGNC Symbol;Acc:HGNC:28400]	CT45A2
ENSG00000263206	kynureninase pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:39201]	KYNUP3
ENSG00000160446	zinc finger, DHHC-type containing 12 [Source:HGNC Symbol;Acc:HGNC:19159]	ZDHHC12
ENSG00000064300	nerve growth factor receptor [Source:HGNC Symbol;Acc:HGNC:7809]	NGFR
ENSG00000139684	esterase D [Source:HGNC Symbol;Acc:HGNC:3465]	ESD
ENSG00000020256	ZFP64 zinc finger protein [Source:HGNC Symbol;Acc:HGNC:15940]	ZFP64
ENSG00000240463	ribosomal protein S19 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:23560]	RPS19P3
ENSG00000259479	sorbitol dehydrogenase 2, pseudogene [Source:HGNC Symbol;Acc:HGNC:49919]	SORD2P
ENSG00000163435	E74-like factor 3 (ets domain transcription factor, epithelial-specific ) [Source:HGNC Symbol;Acc:HGNC:3318]	ELF3
ENSG00000025772	translocase of outer mitochondrial membrane 34 [Source:HGNC Symbol;Acc:HGNC:15746]	TOMM34
ENSG00000172757	cofilin 1 (non-muscle) [Source:HGNC Symbol;Acc:HGNC:1874]	CFL1
ENSG00000114030	karyopherin alpha 1 (importin alpha 5) [Source:HGNC Symbol;Acc:HGNC:6394]	KPNA1
ENSG00000164754	RAD21 homolog (S. pombe) [Source:HGNC Symbol;Acc:HGNC:9811]	RAD21
ENSG00000105287	protein kinase D2 [Source:HGNC Symbol;Acc:HGNC:17293]	PRKD2
ENSG00000235488	JARID2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40314]	JARID2-AS1
ENSG00000204625	HLA complex group 9 (non-protein coding) [Source:HGNC Symbol;Acc:HGNC:21243]	HCG9
ENSG00000265681	ribosomal protein L17 [Source:HGNC Symbol;Acc:HGNC:10307]	RPL17
ENSG00000188612	small ubiquitin-like modifier 2 [Source:HGNC Symbol;Acc:HGNC:11125]	SUMO2
ENSG00000100379	potassium channel tetramerization domain containing 17 [Source:HGNC Symbol;Acc:HGNC:25705]	KCTD17
ENSG00000198625	MDM4, p53 regulator [Source:HGNC Symbol;Acc:HGNC:6974]	MDM4
ENSG00000253158	immunoglobulin kappa variable 3-31 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:5819]	IGKV3-31
ENSG00000124479	Norrie disease (pseudoglioma) [Source:HGNC Symbol;Acc:HGNC:7678]	NDP
ENSG00000273311	DiGeorge syndrome critical region gene 11 (non-protein coding) [Source:HGNC Symbol;Acc:HGNC:17226]	DGCR11
ENSG00000070915	solute carrier family 12 (sodium/chloride transporter), member 3 [Source:HGNC Symbol;Acc:HGNC:10912]	SLC12A3
ENSG00000010219	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 4 [Source:HGNC Symbol;Acc:HGNC:3095]	DYRK4
ENSG00000204031	lipocalin 1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:23680]	LCN1P2
ENSG00000241334	ribosomal protein L35a pseudogene 33 [Source:HGNC Symbol;Acc:HGNC:36950]	RPL35AP33
ENSG00000101199	ADP-ribosylation factor GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:15852]	ARFGAP1
ENSG00000099338	catsper channel auxiliary subunit gamma [Source:HGNC Symbol;Acc:HGNC:25243]	CATSPERG
ENSG00000257093	KIAA1147 [Source:HGNC Symbol;Acc:HGNC:29472]	KIAA1147
ENSG00000237012	chromosome 6 open reading frame 136 [Source:HGNC Symbol;Acc:HGNC:21301]	C6orf136
ENSG00000125977	eukaryotic translation initiation factor 2, subunit 2 beta, 38kDa [Source:HGNC Symbol;Acc:HGNC:3266]	EIF2S2
ENSG00000274942	killer cell immunoglobulin-like receptor, two domains, pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:16344]	KIR2DP1
ENSG00000129515	sorting nexin 6 [Source:HGNC Symbol;Acc:HGNC:14970]	SNX6
ENSG00000177125	zinc finger and BTB domain containing 34 [Source:HGNC Symbol;Acc:HGNC:31446]	ZBTB34
ENSG00000258867	long intergenic non-protein coding RNA 1146 [Source:HGNC Symbol;Acc:HGNC:49467]	LINC01146
ENSG00000116833	nuclear receptor subfamily 5, group A, member 2 [Source:HGNC Symbol;Acc:HGNC:7984]	NR5A2
ENSG00000131188	proline rich 7 (synaptic) [Source:HGNC Symbol;Acc:HGNC:28130]	PRR7
ENSG00000129744	ADP-ribosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:723]	ART1
ENSG00000262635	tryptophan 2,3-dioxygenase [Source:HGNC Symbol;Acc:HGNC:11708]	TDO2
ENSG00000115282	tetratricopeptide repeat domain 31 [Source:HGNC Symbol;Acc:HGNC:25759]	TTC31
ENSG00000141298	slingshot protein phosphatase 2 [Source:HGNC Symbol;Acc:HGNC:30580]	SSH2
ENSG00000129083	coatomer protein complex, subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:2231]	COPB1
ENSG00000204524	zinc finger protein 805 [Source:HGNC Symbol;Acc:HGNC:23272]	ZNF805
ENSG00000223600	eukaryotic translation elongation factor 1 alpha 1 pseudogene 41 [Source:HGNC Symbol;Acc:HGNC:38799]	EEF1A1P41
ENSG00000145736	general transcription factor IIH, polypeptide 2, 44kDa [Source:HGNC Symbol;Acc:HGNC:4656]	GTF2H2
ENSG00000227314	mutS homolog 5 [Source:HGNC Symbol;Acc:HGNC:7328]	MSH5
ENSG00000175658	dopamine receptor D5 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:3028]	DRD5P2
ENSG00000270921	capicua transcriptional repressor pseudogene 23 [Source:HGNC Symbol;Acc:HGNC:48833]	CICP23
ENSG00000232860	SMG7 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:24518]	SMG7-AS1
ENSG00000275276	killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 1 [Source:HGNC Symbol;Acc:HGNC:6329]	KIR2DL1
ENSG00000280204	olfactory receptor, family 1, subfamily S, member 1 [Source:HGNC Symbol;Acc:HGNC:8227]	OR1S1
ENSG00000082684	sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5B [Source:HGNC Symbol;Acc:HGNC:10737]	SEMA5B
ENSG00000169807	PTPN13-like, Y-linked 2 [Source:HGNC Symbol;Acc:HGNC:21504]	PRY2
ENSG00000251394	olfactory receptor, family 12, subfamily D, member 3 [Source:HGNC Symbol;Acc:HGNC:13963]	OR12D3
ENSG00000215193	peroxisomal biogenesis factor 26 [Source:HGNC Symbol;Acc:HGNC:22965]	PEX26
ENSG00000225556	C2 calcium-dependent domain containing 4D [Source:HGNC Symbol;Acc:HGNC:37210]	C2CD4D
ENSG00000133687	transmembrane and tetratricopeptide repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:24099]	TMTC1
ENSG00000248323	lung cancer associated transcript 1 (non-protein coding) [Source:HGNC Symbol;Acc:HGNC:48498]	LUCAT1
ENSG00000107742	sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 2 [Source:HGNC Symbol;Acc:HGNC:13564]	SPOCK2
ENSG00000231535	long intergenic non-protein coding RNA 278 [Source:HGNC Symbol;Acc:HGNC:38712]	LINC00278
ENSG00000234652	1-acylglycerol-3-phosphate O-acyltransferase 5 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:37709]	AGPAT5P1
ENSG00000164167	LSM6 homolog, U6 small nuclear RNA associated (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:17017]	LSM6
ENSG00000213401	melanoma antigen family A, 12 [Source:HGNC Symbol;Acc:HGNC:6799]	MAGEA12
ENSG00000271567	peptidylprolyl isomerase A (cyclophilin A)-like 4F [Source:HGNC Symbol;Acc:HGNC:33999]	PPIAL4F
ENSG00000198604	bromodomain adjacent to zinc finger domain, 1A [Source:HGNC Symbol;Acc:HGNC:960]	BAZ1A
ENSG00000171533	microtubule-associated protein 6 [Source:HGNC Symbol;Acc:HGNC:6868]	MAP6
ENSG00000167323	stromal interaction molecule 1 [Source:HGNC Symbol;Acc:HGNC:11386]	STIM1
ENSG00000126733	dachshund family transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:16814]	DACH2
ENSG00000226879	ribosomal protein L32 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:10339]	RPL32P1
ENSG00000237165	corneodesmosin [Source:HGNC Symbol;Acc:HGNC:1802]	CDSN
ENSG00000130748	transmembrane protein 160 [Source:HGNC Symbol;Acc:HGNC:26042]	TMEM160
ENSG00000216777	proline-rich coiled-coil 2C pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:23949]	PRRC2CP1
ENSG00000265038	phosphomannomutase 2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:9116]	PMM2P1
ENSG00000164975	small nuclear RNA activating complex, polypeptide 3, 50kDa [Source:HGNC Symbol;Acc:HGNC:11136]	SNAPC3
ENSG00000131548	testis-specific transcript, Y-linked 6B (non-protein coding) [Source:HGNC Symbol;Acc:HGNC:31887]	TTTY6B
ENSG00000174521	tetratricopeptide repeat domain 9B [Source:HGNC Symbol;Acc:HGNC:26395]	TTC9B
ENSG00000171552	BCL2-like 1 [Source:HGNC Symbol;Acc:HGNC:992]	BCL2L1
ENSG00000164494	prenyl (decaprenyl) diphosphate synthase, subunit 2 [Source:HGNC Symbol;Acc:HGNC:23041]	PDSS2
ENSG00000126870	WD repeat domain 60 [Source:HGNC Symbol;Acc:HGNC:21862]	WDR60
ENSG00000196407	thioesterase superfamily member 5 [Source:HGNC Symbol;Acc:HGNC:26755]	THEM5
ENSG00000270641	TSIX transcript, XIST antisense RNA [Source:HGNC Symbol;Acc:HGNC:12377]	TSIX
ENSG00000188295	zinc finger protein 669 [Source:HGNC Symbol;Acc:HGNC:25736]	ZNF669
ENSG00000163751	carboxypeptidase A3 (mast cell) [Source:HGNC Symbol;Acc:HGNC:2298]	CPA3
ENSG00000173376	neuron-derived neurotrophic factor [Source:HGNC Symbol;Acc:HGNC:26256]	NDNF
ENSG00000088305	DNA (cytosine-5-)-methyltransferase 3 beta [Source:HGNC Symbol;Acc:HGNC:2979]	DNMT3B
ENSG00000267779	long intergenic non-protein coding RNA 1533 [Source:HGNC Symbol;Acc:HGNC:51274]	LINC01533
ENSG00000215256	DHRS4 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:23175]	DHRS4-AS1
ENSG00000007376	RNA pseudouridylate synthase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:14173]	RPUSD1
ENSG00000276196	killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 3 [Source:HGNC Symbol;Acc:HGNC:16312]	KIR3DL3
ENSG00000182973	CCR4-NOT transcription complex, subunit 10 [Source:HGNC Symbol;Acc:HGNC:23817]	CNOT10
ENSG00000105612	deoxyribonuclease II, lysosomal [Source:HGNC Symbol;Acc:HGNC:2960]	DNASE2
ENSG00000196793	zinc finger protein 239 [Source:HGNC Symbol;Acc:HGNC:13031]	ZNF239
ENSG00000175334	barrier to autointegration factor 1 [Source:HGNC Symbol;Acc:HGNC:17397]	BANF1
ENSG00000188554	neighbor of BRCA1 gene 1 [Source:HGNC Symbol;Acc:HGNC:6746]	NBR1
ENSG00000239570	SET pseudogene 11 [Source:HGNC Symbol;Acc:HGNC:42930]	SETP11
ENSG00000175768	translocase of outer mitochondrial membrane 5 homolog (yeast) [Source:HGNC Symbol;Acc:HGNC:31369]	TOMM5
ENSG00000214351	olfactory receptor, family 1, subfamily X, member 5 pseudogene [Source:HGNC Symbol;Acc:HGNC:31245]	OR1X5P
ENSG00000275970	Fc fragment of IgA, receptor for [Source:HGNC Symbol;Acc:HGNC:3608]	FCAR
ENSG00000148411	NACC family member 2, BEN and BTB (POZ) domain containing [Source:HGNC Symbol;Acc:HGNC:23846]	NACC2
ENSG00000169313	purinergic receptor P2Y, G-protein coupled, 12 [Source:HGNC Symbol;Acc:HGNC:18124]	P2RY12
ENSG00000137168	peptidylprolyl isomerase (cyclophilin)-like 1 [Source:HGNC Symbol;Acc:HGNC:9260]	PPIL1
ENSG00000225242	cytochrome c oxidase subunit VIb polypeptide 1 (ubiquitous) pseudogene 7 [Source:HGNC Symbol;Acc:HGNC:37677]	COX6B1P7
ENSG00000141052	myocardin [Source:HGNC Symbol;Acc:HGNC:16067]	MYOCD
ENSG00000111271	acyl-CoA dehydrogenase family, member 10 [Source:HGNC Symbol;Acc:HGNC:21597]	ACAD10
ENSG00000280411	immunoglobulin heavy variable 1-69-2 [Source:HGNC Symbol;Acc:HGNC:5562]	IGHV1-69-2
ENSG00000229081	long intergenic non-protein coding RNA 1165 [Source:HGNC Symbol;Acc:HGNC:49534]	LINC01165
ENSG00000268975	MIA-RAB4B readthrough (NMD candidate) [Source:HGNC Symbol;Acc:HGNC:48352]	MIA-RAB4B
ENSG00000211654	immunoglobulin lambda variable 5-37 [Source:HGNC Symbol;Acc:HGNC:5922]	IGLV5-37
ENSG00000270532	phosphatidylethanolamine binding protein 1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:44344]	PEBP1P2
ENSG00000176679	TGFB-induced factor homeobox 2-like, Y-linked [Source:HGNC Symbol;Acc:HGNC:18569]	TGIF2LY
ENSG00000137996	RNA 3'-terminal phosphate cyclase [Source:HGNC Symbol;Acc:HGNC:17981]	RTCA
ENSG00000125816	NK2 homeobox 4 [Source:HGNC Symbol;Acc:HGNC:7837]	NKX2-4
ENSG00000214211	CTAGE family, member 14, pseudogene [Source:HGNC Symbol;Acc:HGNC:37299]	CTAGE14P
ENSG00000105662	CREB regulated transcription coactivator 1 [Source:HGNC Symbol;Acc:HGNC:16062]	CRTC1
ENSG00000111203	integrin alpha FG-GAP repeat containing 2 [Source:HGNC Symbol;Acc:HGNC:30879]	ITFG2
ENSG00000130818	zinc finger protein 426 [Source:HGNC Symbol;Acc:HGNC:20725]	ZNF426
ENSG00000263158	taste receptor, type 2, member 63, pseudogene [Source:HGNC Symbol;Acc:HGNC:20641]	TAS2R63P
ENSG00000148296	surfeit 6 [Source:HGNC Symbol;Acc:HGNC:11478]	SURF6
ENSG00000226035	major histocompatibility complex, class II, DR beta 9 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:4957]	HLA-DRB9
ENSG00000223839	family with sequence similarity 95, member B1 [Source:HGNC Symbol;Acc:HGNC:32318]	FAM95B1
ENSG00000132481	tripartite motif containing 47 [Source:HGNC Symbol;Acc:HGNC:19020]	TRIM47
ENSG00000250862	high mobility group box 1 pseudogene 29 [Source:HGNC Symbol;Acc:HGNC:39120]	HMGB1P29
ENSG00000181358	CTAGE family, member 10, pseudogene [Source:HGNC Symbol;Acc:HGNC:37288]	CTAGE10P
ENSG00000148408	calcium channel, voltage-dependent, N type, alpha 1B subunit [Source:HGNC Symbol;Acc:HGNC:1389]	CACNA1B
ENSG00000172955	alcohol dehydrogenase 6 (class V) [Source:HGNC Symbol;Acc:HGNC:255]	ADH6
ENSG00000273144	taste receptor, type 2, member 15, pseudogene [Source:HGNC Symbol;Acc:HGNC:19106]	TAS2R15P
ENSG00000228476	cystatin pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:2486]	CSTP1
ENSG00000008130	NAD kinase [Source:HGNC Symbol;Acc:HGNC:29831]	NADK
ENSG00000233182	olfactory receptor, family 2, subfamily H, member 4 pseudogene [Source:HGNC Symbol;Acc:HGNC:8255]	OR2H4P
ENSG00000278921	EPB41L4A antisense RNA 2 (head to head) [Source:HGNC Symbol;Acc:HGNC:25643]	EPB41L4A-AS2
ENSG00000076641	phosphoprotein membrane anchor with glycosphingolipid microdomains 1 [Source:HGNC Symbol;Acc:HGNC:30043]	PAG1
ENSG00000006116	calcium channel, voltage-dependent, gamma subunit 3 [Source:HGNC Symbol;Acc:HGNC:1407]	CACNG3
ENSG00000231195	interferon, alpha 11, pseudogene [Source:HGNC Symbol;Acc:HGNC:5442]	IFNA11P
ENSG00000100575	translocase of inner mitochondrial membrane 9 homolog (yeast) [Source:HGNC Symbol;Acc:HGNC:11819]	TIMM9
ENSG00000261984	taste receptor, type 2, member 14 [Source:HGNC Symbol;Acc:HGNC:14920]	TAS2R14
ENSG00000145920	complexin 2 [Source:HGNC Symbol;Acc:HGNC:2310]	CPLX2
ENSG00000198089	Sfi1 homolog, spindle assembly associated (yeast) [Source:HGNC Symbol;Acc:HGNC:29064]	SFI1
ENSG00000138185	ectonucleoside triphosphate diphosphohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:3363]	ENTPD1
ENSG00000143110	chromosome 1 open reading frame 162 [Source:HGNC Symbol;Acc:HGNC:28344]	C1orf162
ENSG00000215218	ubiquitin-conjugating enzyme E2Q family-like 1 [Source:HGNC Symbol;Acc:HGNC:37269]	UBE2QL1
ENSG00000229027	heat shock transcription factor, Y-linked 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:1846]	HSFY1P1
ENSG00000257730	LSM6 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:37811]	LSM6P2
ENSG00000132832	long intergenic non-protein coding RNA 1260 [Source:HGNC Symbol;Acc:HGNC:49900]	LINC01260
ENSG00000155275	tRNA methyltransferase 44 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:26653]	TRMT44
ENSG00000091317	CKLF-like MARVEL transmembrane domain containing 6 [Source:HGNC Symbol;Acc:HGNC:19177]	CMTM6
ENSG00000219274	ribosomal protein S20 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:14195]	RPS20P2
ENSG00000223894	major histocompatibility complex, class II, DP alpha 2 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:4939]	HLA-DPA2
ENSG00000278362	natural cytotoxicity triggering receptor 1 [Source:HGNC Symbol;Acc:HGNC:6731]	NCR1
ENSG00000077254	ubiquitin specific peptidase 33 [Source:HGNC Symbol;Acc:HGNC:20059]	USP33
ENSG00000237043	olfactory receptor, family 2, subfamily AD, member 1 pseudogene [Source:HGNC Symbol;Acc:HGNC:14749]	OR2AD1P
ENSG00000186124	olfactory receptor, family 9, subfamily M, member 1, pseudogene [Source:HGNC Symbol;Acc:HGNC:15327]	OR9M1P
ENSG00000255481	olfactory receptor, family 56, subfamily A, member 7 pseudogene [Source:HGNC Symbol;Acc:HGNC:15244]	OR56A7P
ENSG00000254703	smooth muscle and endothelial cell enriched migration/differentiation-associated long non-coding RNA [Source:HGNC Symbol;Acc:HGNC:44177]	SENCR
ENSG00000167759	kallikrein-related peptidase 13 [Source:HGNC Symbol;Acc:HGNC:6361]	KLK13
ENSG00000184515	brain expressed, X-linked 5 [Source:HGNC Symbol;Acc:HGNC:27990]	BEX5
ENSG00000197614	microfibrillar associated protein 5 [Source:HGNC Symbol;Acc:HGNC:29673]	MFAP5
ENSG00000185262	UBA-like domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28438]	UBALD2
ENSG00000242834	ribosomal protein L7a pseudogene 56 [Source:HGNC Symbol;Acc:HGNC:35585]	RPL7AP56
ENSG00000227246	psoriasis susceptibility 1 candidate 2 [Source:HGNC Symbol;Acc:HGNC:17199]	PSORS1C2
ENSG00000164163	ATP-binding cassette, sub-family E (OABP), member 1 [Source:HGNC Symbol;Acc:HGNC:69]	ABCE1
ENSG00000270629	neuroblastoma breakpoint family, member 14 [Source:HGNC Symbol;Acc:HGNC:25232]	NBPF14
ENSG00000029559	integrin-binding sialoprotein [Source:HGNC Symbol;Acc:HGNC:5341]	IBSP
ENSG00000136936	xeroderma pigmentosum, complementation group A [Source:HGNC Symbol;Acc:HGNC:12814]	XPA
ENSG00000120519	solute carrier family 10, member 7 [Source:HGNC Symbol;Acc:HGNC:23088]	SLC10A7
ENSG00000234524	ribosomal protein L12 pseudogene 43 [Source:HGNC Symbol;Acc:HGNC:35840]	RPL12P43
ENSG00000198624	coiled-coil domain containing 69 [Source:HGNC Symbol;Acc:HGNC:24487]	CCDC69
ENSG00000100348	thioredoxin 2 [Source:HGNC Symbol;Acc:HGNC:17772]	TXN2
ENSG00000237106	fatty acid binding protein 5 pseudogene 15 [Source:HGNC Symbol;Acc:HGNC:31071]	FABP5P15
ENSG00000230907	FK506 binding protein like [Source:HGNC Symbol;Acc:HGNC:13949]	FKBPL
ENSG00000234285	glyceraldehyde 3 phosphate dehydrogenase pseudogene 49 [Source:HGNC Symbol;Acc:HGNC:38555]	GAPDHP49
ENSG00000225543	chromosome 6 open reading frame 15 [Source:HGNC Symbol;Acc:HGNC:13927]	C6orf15
ENSG00000180398	multiple coagulation factor deficiency 2 [Source:HGNC Symbol;Acc:HGNC:18451]	MCFD2
ENSG00000109208	submaxillary gland androgen regulated protein 3A [Source:HGNC Symbol;Acc:HGNC:19216]	SMR3A
ENSG00000262980	olfactory receptor, family 52, subfamily L, member 2 pseudogene [Source:HGNC Symbol;Acc:HGNC:14788]	OR52L2P
ENSG00000256283	methyltransferase like 8 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:49856]	METTL8P1
ENSG00000213061	profilin 1 pseudogene 11 [Source:HGNC Symbol;Acc:HGNC:42994]	PFN1P11
ENSG00000143226	Fc fragment of IgG, low affinity IIa, receptor (CD32) [Source:HGNC Symbol;Acc:HGNC:3616]	FCGR2A
ENSG00000256650	RERG intronic transcript 1 (non-protein coding) [Source:HGNC Symbol;Acc:HGNC:39991]	RERG-IT1
ENSG00000166734	cancer susceptibility candidate 4 [Source:HGNC Symbol;Acc:HGNC:24892]	CASC4
ENSG00000174885	NLR family, pyrin domain containing 6 [Source:HGNC Symbol;Acc:HGNC:22944]	NLRP6
ENSG00000238020	HTR3E antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:41032]	HTR3E-AS1
ENSG00000136866	ZFP37 zinc finger protein [Source:HGNC Symbol;Acc:HGNC:12863]	ZFP37
ENSG00000122176	fibromodulin [Source:HGNC Symbol;Acc:HGNC:3774]	FMOD
ENSG00000163082	sphingosine-1-phosphate phosphatase 2 [Source:HGNC Symbol;Acc:HGNC:19953]	SGPP2
ENSG00000234676	IFT74 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:49806]	IFT74-AS1
ENSG00000215374	family with sequence similarity 66, member B [Source:HGNC Symbol;Acc:HGNC:28890]	FAM66B
ENSG00000143942	ChaC, cation transport regulator homolog 2 (E. coli) [Source:HGNC Symbol;Acc:HGNC:32363]	CHAC2
ENSG00000181631	purinergic receptor P2Y, G-protein coupled, 13 [Source:HGNC Symbol;Acc:HGNC:4537]	P2RY13
ENSG00000087494	parathyroid hormone-like hormone [Source:HGNC Symbol;Acc:HGNC:9607]	PTHLH
ENSG00000180228	protein kinase, interferon-inducible double stranded RNA dependent activator [Source:HGNC Symbol;Acc:HGNC:9438]	PRKRA
ENSG00000131732	zinc finger, CCHC domain containing 9 [Source:HGNC Symbol;Acc:HGNC:25424]	ZCCHC9
ENSG00000172215	chemokine (C-X-C motif) receptor 6 [Source:HGNC Symbol;Acc:HGNC:16647]	CXCR6
ENSG00000239269	ribosomal protein SA pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:20018]	RPSAP4
ENSG00000161860	synaptonemal complex central element protein 2 [Source:HGNC Symbol;Acc:HGNC:27411]	SYCE2
ENSG00000218180	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5 pseudogene 7 [Source:HGNC Symbol;Acc:HGNC:513]	SLC25A5P7
ENSG00000151914	dystonin [Source:HGNC Symbol;Acc:HGNC:1090]	DST
ENSG00000153684	golgin A8 family, member F [Source:HGNC Symbol;Acc:HGNC:32378]	GOLGA8F
ENSG00000162735	peroxisomal biogenesis factor 19 [Source:HGNC Symbol;Acc:HGNC:9713]	PEX19
ENSG00000142046	transmembrane protein 91 [Source:HGNC Symbol;Acc:HGNC:32393]	TMEM91
ENSG00000164659	KIAA1324-like [Source:HGNC Symbol;Acc:HGNC:21945]	KIAA1324L
ENSG00000276463	adenylate kinase 6 [Source:HGNC Symbol;Acc:HGNC:49151]	AK6
ENSG00000165025	spleen tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:11491]	SYK
ENSG00000242599	CSAG family, member 4 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:20923]	CSAG4
ENSG00000181019	NAD(P)H dehydrogenase, quinone 1 [Source:HGNC Symbol;Acc:HGNC:2874]	NQO1
ENSG00000112981	NME/NM23 family member 5 [Source:HGNC Symbol;Acc:HGNC:7853]	NME5
ENSG00000197921	hes family bHLH transcription factor 5 [Source:HGNC Symbol;Acc:HGNC:19764]	HES5
ENSG00000261509	TP53 target 3B [Source:HGNC Symbol;Acc:HGNC:37202]	TP53TG3B
ENSG00000224633	olfactory receptor, family 2, subfamily B, member 4 pseudogene [Source:HGNC Symbol;Acc:HGNC:8239]	OR2B4P
ENSG00000106524	ankyrin repeat and MYND domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25370]	ANKMY2
ENSG00000101265	Ras association (RalGDS/AF-6) domain family member 2 [Source:HGNC Symbol;Acc:HGNC:9883]	RASSF2
ENSG00000250425	olfactory receptor, family 7, subfamily E, member 35 pseudogene [Source:HGNC Symbol;Acc:HGNC:8408]	OR7E35P
ENSG00000184208	chromosome 22 open reading frame 46 [Source:HGNC Symbol;Acc:HGNC:26294]	C22orf46
ENSG00000135111	T-box 3 [Source:HGNC Symbol;Acc:HGNC:11602]	TBX3
ENSG00000123444	kelch repeat and BTB (POZ) domain containing 4 [Source:HGNC Symbol;Acc:HGNC:23761]	KBTBD4
ENSG00000122223	CD244 molecule, natural killer cell receptor 2B4 [Source:HGNC Symbol;Acc:HGNC:18171]	CD244
ENSG00000127564	protein kinase, membrane associated tyrosine/threonine 1 [Source:HGNC Symbol;Acc:HGNC:29650]	PKMYT1
ENSG00000211781	T cell receptor alpha variable 7 [Source:HGNC Symbol;Acc:HGNC:12145]	TRAV7
ENSG00000161057	proteasome (prosome, macropain) 26S subunit, ATPase, 2 [Source:HGNC Symbol;Acc:HGNC:9548]	PSMC2
ENSG00000103569	aquaporin 9 [Source:HGNC Symbol;Acc:HGNC:643]	AQP9
ENSG00000167578	RAB4B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9782]	RAB4B
ENSG00000276903	histone cluster 1, H2al [Source:HGNC Symbol;Acc:HGNC:4730]	HIST1H2AL
ENSG00000257923	cut-like homeobox 1 [Source:HGNC Symbol;Acc:HGNC:2557]	CUX1
ENSG00000122386	zinc finger protein 205 [Source:HGNC Symbol;Acc:HGNC:12996]	ZNF205
ENSG00000151702	Fli-1 proto-oncogene, ETS transcription factor [Source:HGNC Symbol;Acc:HGNC:3749]	FLI1
